NVIDIA,GeForce2 PRO,NV15,2000,0.0625,200 MHz,200 MHz,4 / 0 / 8 / 4
AMD,Radeon 7200 64 MB,R100,2000,0.0625,166 MHz,166 MHz,2 / 1 / 6 / 2
NVIDIA,Riva TNT,NV4,1998,0.015625,90 MHz,110 MHz,2 / 0 / 2 / 2
AMD,Rage 128 GL PCI,Rage 4,1998,0.03125,103 MHz,103 MHz,2 / 0 / 2 / 2
AMD,Radeon HD 3870,RV670,2007,0.5,777 MHz,1126 MHz,320 / 16 / 16
NVIDIA,GeForce 8800 Ultra,G80,2007,0.75,612 MHz,1080 MHz,128 / 32 / 24
AMD,Radeon RX Vega 56,Vega 10,2017,8,1156 MHz,800 MHz,3584 / 224 / 64
AMD,Radeon RX Vega 64,Vega 10,2017,8,1247 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon RX 580,Polaris 20,2017,8,1257 MHz,2000 MHz,2304 / 144 / 32
NVIDIA,GeForce GTX 1080 Ti,GP102,2017,11,1481 MHz,1376 MHz,3584 / 224 / 88
NVIDIA,GeForce GTX 1050 Ti,GP107,2016,4,1291 MHz,1752 MHz,768 / 48 / 32
